Tag Name,Question,Answer
SmsFlightDelayed,What do I do if I receive an SMS saying my flight is delayed?,"Before making your way to YUL Montréal-Trudeau International Airport, we strongly suggest that you check your flight information with your airline.

To consult the state of a flight or a flight number, please visit the Flights section"
SmsFlightCancelled,What do I do if I receive an SMS saying my flight is cancelled?,"In the event where a queried flight is cancelled, the user will receive a message stating that the flight has been cancelled.

To consult the state of a flight or a flight number, please visit the Flights section."
SecurXpressBookPassage,How can I book my priority passage through security?,"Book your priority security passage for all departures, except U.S.-bound flights, for free in 3 easy steps:

Book online for a maximum of five people (within 24 hours of the scheduled departure time)
Confirm your registration by replying to an SMS*
Show up at the appointed time at the SecurXpress line
 

*Standard text messaging rates apply"
SecurXpressPassageTime,Why am I not receiving a passage time?,"You must make your reservation within 24 hours of the scheduled departure time, and allow enough time before your flight so that you do not miss your flight. "
SecurXpressPassageNoPhone,I don't have a mobile phone or access to SMS/text messaging. How can I reserve priority passage through the security screening checkpoint?,"Unfortunately, you must have an SMS-enabled mobile phone to use the system. "
ArePetsAllowed,Are pets allowed at the airport?,"Pets are allowed in the terminal as long as they are in a cage or on a leash. Please note that there is a relieving area outside the terminal building, near the multi-level parking facility.

Travelling with a pet ? 

If you are travelling with your pet, please ask your airline before you leave about the available options, the type of cage to use, how to prepare your pet, restrictions and applicable fees, etc. Airlines may also require your animal to be in its cage prior to your arrival at the check-in counter."
ReliefArea,Where can I find a relief area for my pet?,"There is a relieving area outside the terminal building, near the multi-level parking facility."
LuggageProblem,"What to do when my luggage is lost, damaged or delayed?","Your luggage is lost, damaged or delayed?  You should immediately report the situation to your airline which is responsible for checked baggage from the check-in counter to the baggage carousel at destination, including delivery of the aircraft to the carousel."
ReserveParkingOnline,How do I reserve a parking spot online?,"Aéroports de Montréal offers an extensive range of parking options at advantageous rates for all seasons. Wait no longer, book now follow these 5 simple steps to a successful booking:

Visit our website.
Select your date and time details.
Select the parking product that best suits you.
Complete your passenger details.
Complete your payment details (including nominating which credit card you will use to enter and exit the lot).
Do not forget to bring a copy of your booking confirmation.

Did you know that booking parking in advance saves you up to 35% off the regular price at the gate? You can get a quote and compare different products on our website. In addition, if you are a CAA-Quebec member, you will receive an additional 10% discount on stays of 48 hours or more on all parking products. You can also consult our partners offers.

Aéroports de Montréal offers an extensive range of parking options at advantageous rates for all seasons. Wait no longer, book now."
ParkingLotAvailability,Which parking lots are available for online reservation?,"The Multi-Level, EconoParc P5, EconoParc P9, HotelParc and AeroParc A1 parking lots are available for online reservation. To find out about other parking options at Montréal-Trudeau, please visit our website."
ParkingDiscounts,Are there any discounts or promotions available in your parking lots?,"Your trip is booked? Planning on going to the airport soon? Make sure to get the very best rates by reserving your parking as soon as possible, at least a month in advance.

Did you know that booking parking in advance saves you up to 35% off the regular price at the gate? You can get a quote and compare different products on our website. In addition, if you are a CAA-Quebec member, you will receive an additional 10% discount on stays of 48 hours or more on all parking products. You can also consult our partners offers.

Aéroports de Montréal offers an extensive range of parking options at advantageous rates for all seasons. Wait no longer, book now."
ReserveMultiParking,What if I want to reserve parking spots for more than one car travelling on the same date?,It is possible to reserve for more than one car travelling on the same date. Simply make as many reservation as required on our website. The payment will be done on the same credit card and you will receive different confirmation emails with a distinct QR code for each reservation.
MinimumReservationStay,Can I reserve a parking spot at short notice and what is the minimum reservation stay?,"A minimum of 2 hours before arrival at the lot is required for booking and the minimum reservation stay is of 4 hours. However, we recommend reserving in advance to secure the best rate and ensure you can reserve a space in the parking lot of your choice."
KnowIfReservationPlaced,How do I know that my parking reservation has been placed?,"As soon as your payment has been accepted, you will receive an online receipt. Shortly after placing your booking, you will receive an email with a booking reference number confirming all your details. You should bring your confirmation number with you to the Airport.

You can also view your reservation by simply clicking on “Manage my Booking”."
AmendParkingBooking,What happens if I need to amend my parking booking?,You may amend your booking up to 2 hours prior to your parking reservation time. The simplest way is to click on “Manage my Booking”.
CancelParkingBooking,What happens if I need to cancel my parking booking?,You can cancel all bookings up to 2 hours prior to your parking reservation time. The simplest way is to click on ¨Manage my Booking¨.
ExitParkingLater,What happens if I exit the parking lot later than my confirmed booking time?,"If you exit the parking lot after your confirmed booking time, the credit card that you used to exit the lot (your nominated card) will be charged the cost of additional time, based on the rates displayed at entry."
MultiLevelParkingPrice,Is the P3 (Multi-Level) parking at the same price as the lower levels?,"The parking is spread over 3 levels (2 are covered and 1 is uncovered). The rate is calculated according to the proximity to the terminal, which is why we offer a single rate for the Multi-Level.

Did you know that booking parking in advance saves you up to 35% off the regular price at the gate? You can get a quote and compare different products on our website. In addition, if you are a CAA-Quebec member, you will receive an additional 10% discount on stays of 48 hours or more on all parking products. You can also consult our partners offers.

Aéroports de Montréal offers an extensive range of parking options at advantageous rates for all seasons. Wait no longer, book now."
ParkingBookingSecurity,How do I know my parking booking payment details are secure?,This site is PCI-DSS compliant and uses SSL encryption software which is the industry standard. It encrypts all of your personal information including credit card number.
ParkingUponArrival,I have reserved a parking spot via online booking. What do I do at the airport on the day of travel?,"Drive to the parking lot you have pre-booked.  Signage is clearly visible at the airport.  Please bring the map that is available on our website or simply click on the link to the maps available on your confirmation email.

When you arrive at the selected Parking, you must scan the QR code from a printed copy of your parking confirmation email or with a smartphone displaying the QR code on screen. The system will recognize your reservation and will confirm access. You will do the same to exit the Parking.

Please DO NOT take a ticket or insert your credit card at the entrance of the parking lot as this will charge you extra fees. Please contact Assistance to have an Attendant help you."
HowToFindParkingLot,How can I find my reserved parking lot?,"We invite you to use Google Maps with the name of the desired parking, in order to find it."
LostParkingConfirmation,What happens if I forget or lose my parking booking confirmation?,Your confirmation email is necessary to access the parking lot since the QR code is displayed on the confirmation. You will need to have a new booking confirmation resent to you by clicking on the “Manage my Booking” button on our website.
ParkingNoSpace,What to do if there is no space in the desired parking lot?,"If you have made an online booking, you must mention it to the agent at the entrance and he will let you in.

If you do not have a reservation, the agent will direct you to a park where there is availability."
ParkingShuttle,Is there a shuttle to get me from the parking to the airport?,"A 24-hour shuttle service is available for the EconoParc P5, EconoParc P9 and AeroParc, all within 15 minutes."
ParkingStaff,Is there staff 24 hours a day on the parking site?,"Need assistance? We are here to help!

We are available 24 hours a day, 7 days a week, 365 days a year. You can reach our agents by pressing the ""Assistance"" button on the parking equipment."
ParkingExit,How do I exit the parking lot?,"To exit the parking lot, simply scan the QR code at one of the exits of the parking lot. The gate will open to let you out."
ParkingExitLater,What happens if I exit the parking lot later than my confirmed booking time?,"If you exit the parking lot after your confirmed booking time, the credit card that you use to exit the lot (your nominated card) will be charged the cost of additional time, based on the rates displayed at entry."
ParkingExitLaterThanPrebooked,What happens if I exit the parking lot earlier than what I pre-booked?,No refund will be made if your stay is shorter than the Booking period.
LostParkingTicket,What should I do if I lose my parking ticket?,"Need assistance? We are here to help!

We are available 24 hours a day, 7 days a week, 365 days a year. You must go to the assistance station at the parking exit and our agents will gladly help you."
ParkingTicketStuck,What can I do if my money stays stuck in the automated parking pay station?,"Need assistance? We are here to help!

We are available 24 hours a day, 7 days a week, 365 days a year. If you are still on the airport site, simply press the ""Assistance"" button on the automated pay station. An agent will assist you.

You are no longer on the airport site? No problem, please send a request to stationnement@admtl.com by enclosing the vouchers."
ParkingExitTimeAfterPayment,What is the parking exit time after making the payment?,The exit time after payment gives you plenty of time to get out of the parking lot. The system configuration is made to measure the distance to get to your vehicle.
ParkingCarProblem,What should I do if my car does not start while in the parking?,Roadside assistance is available 24 hours ($). You can call the airport's service station at 514-633-9026 to make a request.
ParkingAssistance,Who can I call for parking assistance?,"If you need parking assistance, you can call 514-420-5000."
ParkingSnowRemoval,Will my car be cleared of snow when I return from my trip?,"We are here to help! A snow removal team is on site when there is more than 15 centimeters at the parking lot (P3), during winter storms."
BookParkingReducedMobility,Can I book reduced mobility parking online?,"No reservations are required for parking with reduced mobility.

Did you know that booking parking in advance saves you up to 30% off the regular price at the gate? You can get a quote and compare different products on our website. In addition, if you are a CAA-Quebec member, you will receive an additional 10% discount on stays of 48 hours or more on all parking products. You can also consult our partners offers.

Aéroports de Montréal offers an extensive range of parking options at advantageous rates for all seasons. Wait no longer, book now."
ParkingLotsReducedMobility,What parking lots are available for people with limited mobility?,"Parking spots for people with limited mobility are available at the Short-Term and the Multi-Level.

Short-Term: 

3 parking spots by the domestic tower (2 on the left, 1 on the right)
6 parking spots by the international tower (3 in front, 1 on the left, 2 on the right)
Multi-Level:

Levels 1 and 2
8 parking spots by the domestic tower and 8 spots by the international tower
Did you know that booking parking in advance saves you up to 30% off the regular price at the gate? You can get a quote and compare different products on our website. In addition, if you are a CAA-Quebec member, you will receive an additional 10% discount on stays of 48 hours or more on all parking products. You can also consult our partners offers.

Aéroports de Montréal offers an extensive range of parking options at advantageous rates for all seasons. Wait no longer, book now."
ElectricVehicleCharging,Where can I charge my electric vehicule?,"Aéroports de Montréal is pleased to provide charging stations for electric vehicles in the terminal parking lot. 

You will find parking spaces dedicated to this service at the Short-Term parking, as well as at the HotelParc.

For more information, please visit the Electric Circuit website. "
MaxHightParkingLot,What is the height limit for parking?,"There are no height restrictions in the EconoParc P5, EconoParc P9 and AeroParc A1. However, there is a height restriction of 6’10” (2.1 meters) in the Multi-Level and the HotelParc."
BigDimensionParking,What should I do if the dimensions of my vehicle are bigger then the parking spot?,"Before your trip, we encourage you to contact our team at parkingreservation@admtl.com to ensure that your concerns are taken care of. "
FreeWaitingLot,Is there a free waiting lot?,"To prevent congestion on the roads and to avoid driving continually around the airport, we invite you to use the FREE CellParc waiting lot. You can park there for free for two hours.

Click here to locate CellParc.

Did you know that booking parking in advance saves you up to 35% off the regular price at the gate? You can get a quote and compare different products on our website. In addition, if you are a CAA-Quebec member, you will receive an additional 10% discount on stays of 48 hours or more on all parking products. You can also consult our partners offers.

Aéroports de Montréal offers an extensive range of parking options at advantageous rates for all seasons. Wait no longer, book now."
BikeRackLocation,Where are the bike racks located?,"As a visitor, you can park your bike at four locations: indoors in the HotelPark underground parking, outside in front of the Marriott Hotel and outside on the west or east side of the Romeo-Vachon boulevard.

HotelParc's indoor bike parking is secured by video surveillance and the three outdoor parkings are protected from the elements.

Bike racks are also available at the Dorval train station and terminal, as well as in the P-Charlie, P-10 and P-11 parking lots."
RepairBike,Where can I repair my bike?,"Bike and cycle touring lovers, you will now be able to dismantle your bike before your flight and reassemble it when you return, thanks to the installation of two Biciborne stations! 

These self-service stations are equipped with a bracket, an air pump and multiple tools such as screwdrivers and a set of keys.

They are available at the HotelParc parking and domestic arrivals.

Watch Biciborne video "
WhereToFindTaxisLimousines,"Where can I find taxis, adapted taxis and limousines?","You can get a taxi at the arrivals level at door 23, where a dispatcher will assist you.

You will find limousine at the same level, at door 24.

There are also a certain number of adapted taxis are available at Montréal–Trudeau. Speak to the dispatcher."
TaxisLimousinesPrices,"What are the rates for taxis, adapted taxis and limousines?","Taxi fares: Fares by meter for all other destinations except downtown.  Minimum rate of $17,45. More (French only).

Limousine fares: For all destinations other than downtown, click here.  (French only).

Payment methods: Visa, MasterCard and American Express credit cards are accepted. Some drivers accept U.S. currency but provincial regulations require customers to pay in Canadian currency.

Montréal-Trudeau / Downtown
 	TAXI	LIMOUSINE
Fixed fare	$41	$58 / $63
Minimum fare	$17.45	$52
Other destination	meter	rate card"
ExpressBus,How can I get to the airport by express bus?,"747 P-E-Trudeau Airport/Downtown 
The 747 bus line service runs 24 hours a day, 7 days a week, between the Montréal-Trudeau airport and downtown Montréal (corner of Berri and Sainte-Catherine - Berri-UQAM station).

Travel time may vary between 45 to 70 minutes, depending on traffic conditions.

From downtown
Downtown (Berri-UQAM station) → Airport

11 stops - 45 to 70 minutes
Continuous service
From the airport
Airport → Downtown (Berri-UQAM station)

11 stops - 45 to 70 minutes
Continuous service
Airport → Lionel-Groulx station (starting June 19, 2017)

One stop - 25 to 35 minutes
Service from 11 a.m. to 8 p.m. (peak hour)
 

To get to the bus stop, go to door 28 at the Arrivals level and follow the signs ""STM"""
RegularBus,How can I get to the airport by bus?,"The 204 Cardinal bus line, operated by the STM public transit service serves Montréal–Trudeau from the Dorval train station.

Furthermore, the 209 bus line connects the Roxboro-Pierrefonds commuter train station to Montréal–Trudeau.

To get to the bus stop, go to door 28 at the Arrivals level and follow the signs ""STM""

Fares: adult one-way / $3.25*

* Please be sure to provide the exact amount to the driver as he can not give change."
BusPrice,What are the fares and where are tickets available for public transportation?,"Fares

The fare is $10 for unlimited travel throughout the STM bus and métro network and is valid for 24 consecutive hours.

Accepted fares on bus

1-day pass (24 h)
Unlimited Weekend
3-day pass - consecutive days
Hebdo - Monday to Sunday
Other accepted fares

Montly pass, regular or reduced fare
4-month pass and monthly TRAM passes, zone 1-8
Points of sale at the airport

Fares can be purchased from the automated dispensers on the international arrivals level.

The $10 fare can also be paid in cash with exact change on board the bus. Only coins are accepted (no bank bills).

For more information, please visit STM website. "
HotelShuttle,Where are the hotel shuttle services?,"Complimentary shuttle service is available between Montréal-Trudeau airport and several nearby hotels. 

The shuttle service is at door 8, at departure level (public area -USA departure) near the JAVA U restaurant.

A multimedia screen is located near door 8 with the phone numbers of each hotel.
You will need to call the displayed phone number, so that the hotel shuttle can pick you up."
RegionalShuttle,What are the regional shuttles offered at Montreal-Trudeau?,"COACHES
 

OE-FondTransparent.png

Montréal-Trudeau/Trois-Rivières/Ste-Foy/Québec City

Orléans Express offers a return shuttle service by coach between Montréal–Trudeau and the cities of Trois-Rivières, Ste-Foy and Québec City.

Tickets can be purchased at the ICE International Currency Exchange counter located at the international arrivals level.

There are several departures daily, every day of the week.

Boarding: Head to door 28, at the arrivals level. Once out, go to post 5 or 6.

Schedule and fares: Orléans Express

Greyhound logo.jpg

Montréal-Trudeau/Ottawa/Gatineau

Greyhound offers a return shuttle service by coach between Montréal–Trudeau and the cities of Ottawa and Gatineau.

Tickets can be purchased aboard the coach at the passenger drop-off area on the international arrivals level.

There are several departures daily, as of 11 a.m., every day of the week. 

Boarding: Head to door 28, at the arrivals level. Once out, go to post 5 or 6.

Schedule and fares:  1 800 661-8747 or Greyhound

 
MINIBUS
aeronavette.png

Montréal-Trudeau/Eastern Townships

Aeroshuttle is the only shuttle specializing in your travel needs between the regions of Sherbrooke, Magog/Orford, Bromont, Granby, L’Ange-Gardien, Richelieu and Montreal’s Pierre Elliott Trudeau International Airport. 

The shuttle is available to everyone going to the airport, 24/7 and 365 days a year. We work with your flight information to offer you departure times that are specially suited to your travel itinerary and to road conditions. In Sherbrooke, Magog and Orford, Aeroshuttle also offers a home pickup service, for an additional fee, that allows you to start your business travels or vacations from your doorstep.

Boarding: Head to door 25, at the arrivals level. Once out, go to post 2.

For more information or to book your next departure, please call 819 820-5858, 1 855 628-3883 toll free or visit the website Aéronavette."
UberPickUp,How to get picked up at YUL Airport by UBER?,"Whether you’re going from YUL to downtown Montréal or from your hotel to Montréal Airport, count on Uber to get you there.
 
1- Request when you’re ready to walk outside.
And choose a ride option that suits your group size and luggage storage needs.

2- Head towards the pickup location.
Pickup locations may depend on the type of ride you request. Follow the instructions in the app about where to meet your driver. You can also look for signs that point to designated airport ridesharing zones.

3- Look for your driver.
If you can't find your driver, contact him or her through the app.

For more information: https://www.uber.com/info/montreal-airport/"
DirectionsToViaRail,How to get to VIA Rail station in Dorval?,"As Canada’s national passenger rail service, VIA Rail Canada offers inter-city connections along the Ottawa-Montréal, Toronto-Kingston-Montréal and Québec City-Montréal corridors.

A free minibus service is available between the VIA Rail station in Dorval and the Montréal–Trudeau Airport. 

To get to VIA Rail station in Dorval, go to door 8 at the departures level , near the departures area to the United States.

A multimedia screen is located near door 8 with the phone numbers of each service. You will need to call the displayed phone number for VIA, so that the shuttle from VIA Rail station in Dorval can pick you up.

         Telephone        Toll free
VIA Rail        514 989-2626        1 888 842-7245
For more information, visit the VIA Rail Canada website."
VehicleRentalCounters,Where are the vehicle rental service counters?,"Vehicle rental service counters are located at the centre of the Short Term parking lot (ground floor level). Follow directions to Car rentals.

COMPANY        PHONE NUMBER        TOLL FREE
logo_alamo.gif        514 633-1222        1 800 462-5266
logo_avis.gif        514 636-1902        1 800 879-2847
logo_budget.gif        514 636-0052        1 800 268-8970
logo_dollar.gif        514 631-5567        1 800 800-4000
logo_enterprise.gif        514 631 4545        1 800 736-8222
logo_hertz.gif        514 636-9530        1 800 263-0678
logo_national.gif        514 636-9030        1 800 227-7368
logo_thrifty.gif        514 631-5567        1 800 847-4389"
DirectionsToCarRentalCompanies,How can I get to the off site car rental companies?,"Complimentary shuttle service is available between Montréal-Trudeau airport and off site car rental companies:

Discount
Economy Rent a Car
EZ Rent a Car
Payless Car Rental
The shuttle service is at door 8, at departure level (public area -USA departure) near the JAVA U restaurant.

A multimedia screen is located near door 8 with the phone numbers of each company.
You will need to call the displayed phone number, so that the company shuttle can pick you up."
DepartureDropOffRules,What are the rules for the departure drop-off zone?,"To prevent traffic congestion, if you use the departures drop-off zone, you must stay in your vehicle and stop only as long as required to drop off your passengers.

Please note that spaces are reserved for people with limited mobility.

For safety reasons, the passenger dropoff and pickup zones are designated no-parking areas. We kindly ask that you not leave your vehicle unattended in these areas. Please note that parking is also restricted on airport roads. Vehicles left in no-parking zones will be towed."
StayTimeDropOffZone,How long can I stay in the drop-off zone?,"Did you know that Short Term parking is only 3-4 minutes walk from the terminal? It is possible to use this parking, for a fee, to take the time to accompany passengers inside the airport.

Driving directions"
PickUpRules,What are the rules for the pick-up zone?,"To prevent traffic congestion, if you are using the pick-up zone, know that it is divided into five zones to make it easier to identify your passenger: A, B, C, D and E. Ask your passenger to indicate the exact zone where he/she will be waiting for you. You must stay in your vehicle and stop only for the time required to pick up your passengers.

Please note that spaces are reserved for people with limited mobility.

Click here to locate the passenger dropoff and pickup zones. 

For safety reasons, the passenger dropoff and pickup zones are designated no-parking areas. We kindly ask that you not leave your vehicle unattended in these areas. Please note that parking is also restricted on airport roads. Vehicles left in no-parking zones will be towed."
CellParc,I want to pick-up someone. Where can I park for free?,"To prevent congestion on the roads and to avoid driving continually around the airport, we invite you to use the FREE CellParc waiting lot. You can park there for free for two hours.

Click here to locate CellParc."
WhatCanIBring,What can I bring when traveling and what are the security procedures?,"The airport can be a stressful place for some travelers with all the security checks. However, security checks are necessary to ensure the safety of all passengers. Our priority is the safety of every passenger passing through the airport. 

Did you know that the Canadian Air Transport Security Authority (CATSA) is responsible for the pre-board screening of passengers and their belongings in Canadian airports?

You will find a complete list on the CATSA website of prohibited items to determine whether you pack certain things in your carry-on or your checked luggage. 

We invite you to visit the Air travel section of Government of Canada website for more informations and advices on everything you need to know to prepare for a worry-free flight. "
SecurityScreeningWithChildren,How to prepare for security screening when traveling with children?,"Here are some tips from the Canadian Air Transport Security Authority on how to pack items for babies and young children.

If you are travelling with an infant younger than two years of age (0-24 months), you can bring baby food, milk, formula, water, juice and other baby items in your carry-on baggage.
Certain powders and granular materials (e.g. baby powder) in your carry-on are limited to a total quantity of 350 ml or less.
Gel and ice packs can be brought on board, if they are being used to refrigerate baby food, milk, breast milk, formula, water or juice for infants younger than two years of age.
Passengers flying with or without their child can bring breast milk in quantities greater than 100 ml provided it is presented to the screening officer for inspection prior to screening.
Any exempted liquids, such as medications, baby formula or breast milk, should be packed so that they can easily be removed from carry-on baggage for inspection. However, we recommend that these items be properly labeled (manufacturer's name or pharmaceutical label identifying the medication).
You can pack toys in your child’s carry-on baggage, but leave toys that look like weapons (e.g. water guns, toy grenades, etc.) at home."
ScreeningProceduresWithChildren,What are the procedures at the security checkpoint when I travel with children?,"Here are some tips from the Canadian Air Transport Security Authority on what to do at the screening checkpoint when you are traveling with babies and young children.

When you arrive at the checkpoint, check if the Family/Special Needs lane is available. This lane features screening equipment that can accommodate larger items, and screening officers who offer additional assistance to passengers needing more time or help with their belongings to get through security.
Screening officers will need to inspect strollers, infant carriers and car seats.
 All baby food or drinks, including formula, must be presented to the screening officer for inspection.
Children’s carry-ons, including diaper bags, should be placed on the conveyor belt for security screening.
Keep any MP3 players (e.g. iPods), portable handheld game consoles, tablets and smartphones in your carry-on.
Let your child walk through the metal detector if they are able to do so on their own.
Please don’t hand your child to a screening officer while you go through security. "
ScreeningProceduresWithAnimal,What are the procedures at the security checkpoint when I travel with an animal?,"Here are some tips from the Canadian Air Transport Security Authority on what to do when traveling with a pet. 

Let the screening officer know that you are travelling with your pet. 
All passengers travelling with animals must undergo explosive trace detection (ETD) testing.
A screening officer will offer to conduct the screening of your animal in a private search room.
Whether you stay at the checkpoint or go to a private search room, you will need to remove your pet from its carrying case and remove any items attached to your pet (except collars and harnesses).
You will need to keep your pet under control during screening.
After the screening of your pet, its carrying case and any other items is complete, you will need to put your pet back in its carrying case."
ScreeningProceduresUponArrival,What are the security screening procedures upon my arrival?,"The Canada Border Services Agency (CBSA) is responsible for providing integrated border services in Canada, including customs, immigration and luggage inspection services. 
 
Head to a Primary Inspection Kiosks with your passport in hand. To save time, download CanBorder - eDeclaration. If you were unable to complete your application on your smartphone, you will be able to report to the Primary Inspection Kiosks. 
 
For more information, please visit the Canada Border Services Agency website."
CustomKiosks,How to use the Canadian customs kiosks?,"Up to five travellers with the same place of residence can use a kiosk together.

At the kiosk:
Scan your travel document
Take your photo
Verify your fingerprints (only for select foreign nationals and permanent residents)
Answer a few questions to complete your declaration
Take your kiosk receipt to a border services officer
 

If you have completed your declaration with the CanBorder application, simply scan your QR code at the kiosk and follow the instructions on the screen."
NexusRegistration,Where is the NEXUS Registration Center?,"The enrolment centre (by appointment only) at Montréal–Trudeau is located in Suite T1470 on the arrivals level, in front of the revolving doors # 28.

Apply for NEXUS today by visiting www.nexus.gc.ca or calling 1 866-NEXUS-26."
ScreeningProceduresToUs,What are the procedures when leaving for the United States?,"Montréal–Trudeau provides border preclearance for passengers bound for the United States. This means that you will be screened by a U.S. Customs and Border Protection (CBP) officer before departure, and will not have to submit to any other formalities when arriving in the United States.

You must have all the required documentation with you, including a valid passport. 

Canadian and U.S. passport holders can use the automated passport control kiosks to save time. The new process involves four steps:

Scan your passport;
Have your photo taken;
Answer the questions on the screen;
Present your documents to the CBP officer.
Passengers holding a passport from another country must follow the usual procedure and report to a CBP officer.

If you would like to find more about the U.S Customs and Border Protection and their services, please visit their website www.cbp.gov"
